ni_m3,ni_e18,ra_mm,I_beamlet_ag_A,I_beamlet_sm_A,I_beamlet_in_A,I_del_A,grid_loss_frac,leakage_frac,peak_to_avg,rms_nonuniform,edge_peaking,lost_to_tube,has_sample,y_rms_sm_mm,y_absmax_sm_mm,I_del_clean
1e+18,1.0,1.0,0.0009017638195999999,0.000890942654,0.000890942654,0.417852104726,,0.007035175879,2.378036437,0.6537341188,0.09520725389,False,True,12.54134299,31.615974669999996,0.417852104726
1e+18,1.0,1.5,0.0020289685944,0.0019924471596,0.0019924471596,0.9344577178524,,0.008080808081,2.392566191,0.6919842291,0.07305502846,False,True,12.19076243,31.730692249999997,0.9344577178524
1e+18,1.0,2.0,0.0036070552788,0.0035295035904,0.0035295035904,1.6553371838975999,,0.007606490872,2.40112417,0.7126786697,0.05965909091,False,True,12.23254159,31.719282760000002,1.6553371838975999
1e+18,1.0,2.5,0.005636023872,0.0055007593,0.0055007593,2.5798561117,,0.006109979633,2.732581967,0.717504332,0.05803242447,False,True,13.218301429999999,31.62798561,2.5798561117
1e+18,1.0,3.0,0.008115874375999999,0.007888629896,0.007888629896,3.6997674212239997,,0.006134969325,3.070473251,0.6877981757,0.0665158371,False,True,15.04372202,31.61744828,3.6997674212239997
1e+18,1.0,3.5,0.011046606792,0.004468352448,0.004468352448,2.095657298112,,0.07542857143,2.0407911,0.4140785563,0.6653225806,True,True,17.567605529999998,31.72551447,
1e+18,1.0,4.0,0.014428221116,0.006131993976,0.006131993976,2.875905174744,,0.08108108108,1.643529412,0.3490253359,0.7649006623,True,True,17.63603041,31.73149402,
1.5e+18,1.5,1.0,0.0013526457296,0.0013364139808,0.0013364139808,0.6267781569952,,0.007533902562,2.313765182,0.6742588782,0.08655675333,False,True,12.36923901,31.463481449999996,0.6267781569952
1.5e+18,1.5,1.5,0.0030434528916,0.0029932359188,0.0029932359188,1.4038276459171999,,0.007067137809,2.324351805,0.7090791868,0.06938325991,False,True,12.4642199,31.4513191,1.4038276459171999
1.5e+18,1.5,2.0,0.00541058292,0.005307781844,0.005307781844,2.489349684836,,0.008590197069,3.107033639,0.7394947468,0.08033664881,False,True,13.56092125,31.716673110000002,2.489349684836
1.5e+18,1.5,2.5,0.008454035808,0.008268047024,0.008268047024,3.8777140542560002,,0.008113590264,2.726993865,0.5821225127,0.08648255814,False,True,15.94048508,31.19118416,3.8777140542560002
1.5e+18,1.5,3.0,0.012173811567999999,0.011699032916000001,0.011699032916000001,5.486846437604001,,0.01988781234,1.784079084,0.2906208025,1.14375,False,True,19.025903319999998,31.749902000000002,5.486846437604001
1.5e+18,1.5,3.5,0.016569910188,0.0066776738040000005,0.0066776738040000005,3.131829014076,,0.07462686567,1.890818859,0.4078207368,0.7359813084,True,True,17.619754269999998,31.69998331,
1.5e+18,1.5,4.0,0.021642331671999998,0.009133063968,0.009133063968,4.283407000992,,0.08559046587,1.805687204,0.3625011569,0.7734375,True,True,17.660912680000003,31.7286082,
2e+18,2.0,1.0,0.0018035276396,0.0017818853076,0.0017818853076,0.8357042092643999,,0.007533902562,2.185222672,0.6814563937,0.0858490566,False,True,12.424022769999999,31.522150909999997,0.8357042092643999
2e+18,2.0,1.5,0.004057937187999999,0.0039930101936,0.0039930101936,1.8727217807983998,,0.009562154001,2.645833333,0.7285678187,0.08088235294,False,True,13.24695554,31.58028746,1.8727217807983998
2e+18,2.0,2.0,0.007214110556,0.007102291844,0.007102291844,3.330974874836,,0.009058882738,2.515490096,0.5984129052,0.0960982659,False,True,15.633621520000002,31.66511343,3.330974874836
2e+18,2.0,2.5,0.011272047748,0.010781713667999999,0.010781713667999999,5.0566237102919995,,0.03383838384,1.925248301,0.3015058656,1.047505938,False,True,18.87945484,31.72372869,5.0566237102919995
2e+18,2.0,3.0,0.016215517008,0.01258772116,0.01258772116,5.90364122404,,0.08441558442,1.80141844,0.2972157069,1.143333333,False,True,19.08328207,31.74442324,5.90364122404
2e+18,2.0,3.5,0.022093213584,0.00884833204,0.00884833204,4.14986772676,,0.07291666667,1.744069913,0.3829881799,0.7905882353,True,True,17.66015938,31.638579290000003,
2e+18,2.0,4.0,0.028856442232,0.012061992852,0.012061992852,5.657074647588001,,0.08633879781,1.822966507,0.3309875834,0.7804054054,True,True,17.681149310000002,31.702238799999996,
2.5e+18,2.5,1.0,0.0022544095492,0.0022273566348,0.0022273566348,1.0446302617212,,0.007533902562,2.442307692,0.710020784,0.08579509742,False,True,12.682812010000001,31.62355023,1.0446302617212
2.5e+18,2.5,1.5,0.005072421484,0.004991262744,0.004991262744,2.340902226936,,0.009562154001,2.774898374,0.6963974207,0.09256926952,False,True,14.411933959999999,31.52676158,2.340902226936
2.5e+18,2.5,2.0,0.009017638195999999,0.00889590008,0.00889590008,4.172177137519999,,0.00754527163,2.188545362,0.3747927134,0.4810055866,False,True,18.043918950000002,31.660648450000004,4.172177137519999
2.5e+18,2.5,2.5,0.013928023996,0.011504533732,0.011504533732,5.395626320308,,0.06471935853,2.177587263,0.3104286439,1.188395415,False,True,19.06796121,31.735563430000003,5.395626320308
2.5e+18,2.5,3.0,0.019396939764,0.013523075680000001,0.013523075680000001,6.34232249392,,0.07878369039,1.810202551,0.3483439955,1.440104167,False,True,19.38133697,31.736274850000004,6.34232249392
2.5e+18,2.5,3.5,0.027616516980000002,0.011032798532000001,0.011032798532000001,5.174382511508001,,0.0633059789,1.748435544,0.4122304505,0.8770883055,True,True,17.79080802,31.73011127,
2.5e+18,2.5,4.0,0.036070552788,0.015023385236,0.015023385236,7.0459676756839995,,0.08057395143,1.981992797,0.3829625893,0.7839366516,True,True,17.8393058,31.714745750000002,
3e+18,3.0,1.0,0.0027052914592,0.0026728279616,0.0026728279616,1.2535563139904,,0.007533902562,2.699392713,0.7153604569,0.08372093023,False,True,13.12024218,31.73820286,1.2535563139904
3e+18,3.0,1.5,0.0060869057839999996,0.0059895152920000005,0.0059895152920000005,2.8090826719480004,,0.009562154001,2.387703252,0.5602963109,0.1021400778,False,True,15.85288553,31.547661839999996,2.8090826719480004
3e+18,3.0,2.0,0.010691311848,0.009647069344,0.009647069344,4.524475522336,,0.06355042017,2.208076276,0.3420547367,0.9074903969,False,True,18.73919805,31.69231627,4.524475522336
